netusoft,nwsptot,pplfair,pplhlp,ppltrst,rdtot,tvtot,actrolga,bctprd,dclagr,dclaid,dclcrm,dclenv,dclmig,dclwlfr,dmcntov,euftf,gincdif,ginveco,lawobey,lrscale,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,trstsci,imbgeco,aesfdrk,atchctr,atcherp,blgetmg,brncntr,dscrgnd,dscrrlg,facntr,happy,health,inprdsc,mocntr,rlgdgr,sclmeet,ccnthum,vteumbgb,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,ipeqopta,iplylfra,ipmodsta,ipudrsta,País,P_fc,GroupCntry
,3.0,5,3,2,0.0,3.0,,1,3.0,1.0,1.0,1.0,2.0,3.0,,,4,4.0,2.0,10,1,3,2,0,4,6,3,0,3,,3,1,,,2.0,1,0,0,1,8,3,,1,0,7,,,1.0,1.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,1.0,6.0,5.0,Alemania,5,0
,,6,6,6,,4.0,,2,,,,,,,,1.0,1,,,5,3,2,3,2,4,5,6,2,2,,1,2,,,2.0,1,0,0,1,6,2,4.0,1,3,3,,,1.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,3.0,1.0,3.0,1.0,Alemania,5,0
,,2,3,1,,3.0,,2,,,,,,,6.0,10.0,4,,,5,4,4,0,3,0,5,6,1,5,,0,1,,,2.0,1,0,0,1,5,3,3.0,1,5,6,,,1.0,1.0,4.0,6.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,Francia,8,0
,2.0,5,5,5,1.0,5.0,,2,,,,,,,,10.0,3,,,5,3,0,5,5,5,5,5,5,5,,5,3,,,2.0,1,0,0,1,5,1,,1,0,7,,,2.0,2.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,Suecia,20,0
,1.0,4,4,3,2.0,6.0,,2,2.0,1.0,1.0,1.0,1.0,2.0,,,3,3.0,1.0,5,2,0,3,0,5,2,2,0,0,,0,2,,,2.0,1,0,0,1,7,2,,1,1,4,,,2.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,Países Bajos,16,0
5.0,,4,4,4,,,3.0,2,,,,,,,,1.0,3,,,10,2,3,3,0,3,4,5,4,2,3.0,1,3,8.0,6.0,,1,0,0,1,5,2,1.0,1,3,2,3.0,,,,,,,,,,,,,,Suecia,20,0
4.0,,0,0,5,,,1.0,2,,,,,,,,0.0,2,,,5,4,0,0,0,0,2,2,0,0,3.0,3,2,0.0,0.0,,1,0,0,1,5,3,3.0,1,0,4,1.0,,,,,,,,,,,,,,Alemania,5,0
,1.0,5,3,1,1.0,6.0,,2,,,,,,,,4.0,1,,,2,1,2,3,5,4,4,5,6,6,,1,1,,,2.0,1,0,0,1,3,4,,1,7,7,,,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,Austria,1,0
5.0,,10,5,5,,,3.0,1,,,,,,,,0.0,4,,,5,1,2,0,2,0,2,5,0,5,10.0,5,2,8.0,8.0,,1,0,0,1,8,1,2.0,1,2,6,4.0,,,,,,,,,,,,,,Alemania,5,0
,1.0,5,7,5,5.0,2.0,,2,1.0,1.0,1.0,1.0,1.0,1.0,,,4,2.0,2.0,5,3,3,2,3,2,5,4,3,6,,5,1,,,2.0,1,0,0,1,7,1,,1,5,5,,,2.0,2.0,5.0,5.0,4.0,2.0,6.0,1.0,2.0,2.0,3.0,3.0,Alemania,5,0
,2.0,4,6,4,1.0,6.0,,1,,,,,,,,,1,,,2,1,2,3,2,3,1,3,2,4,,3,3,,,2.0,1,0,0,1,5,3,,1,3,7,,,3.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,2.0,4.0,4.0,Francia,8,0
,1.0,6,6,5,6.0,5.0,,2,,,,,,,,5.0,1,,,5,4,4,5,4,5,10,5,3,3,,2,1,,,2.0,1,0,0,1,9,1,,1,2,7,,,1.0,1.0,2.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,Francia,8,0
5.0,,5,0,5,,,1.0,2,,,,,,,,5.0,1,,,3,2,5,3,3,10,5,5,5,5,5.0,5,2,5.0,5.0,,1,0,0,1,5,4,4.0,1,3,5,3.0,,,,,,,,,,,,,,Alemania,5,0
,2.0,1,1,1,1.0,5.0,,2,,,,,,,,0.0,1,,,10,1,0,5,1,2,2,0,0,3,,0,2,,,2.0,1,0,0,1,2,2,,1,0,5,,,1.0,1.0,3.0,6.0,3.0,3.0,6.0,1.0,3.0,4.0,1.0,1.0,Francia,8,0
5.0,,0,10,10,,,3.0,2,,,,,,,,10.0,5,,,10,1,10,0,0,10,0,10,6,4,10.0,5,2,10.0,10.0,,1,0,0,1,0,3,2.0,1,6,4,3.0,,,,,,,,,,,,,,Alemania,5,0
,3.0,5,2,1,0.0,5.0,,2,,,,,,,,10.0,1,,,5,3,0,2,5,5,10,3,0,1,,5,3,,,2.0,1,0,1,1,8,3,,1,10,6,,,1.0,6.0,5.0,5.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,Francia,8,0
,0.0,6,5,4,2.0,2.0,,2,3.0,1.0,1.0,1.0,3.0,3.0,,,2,3.0,2.0,4,4,5,3,4,5,4,5,4,6,,5,4,,,2.0,1,0,0,2,5,3,,2,0,4,,,3.0,4.0,4.0,6.0,3.0,5.0,6.0,4.0,2.0,4.0,2.0,4.0,Francia,8,0
,,4,5,4,,5.0,,2,,,,,,,,3.0,2,,,6,2,5,4,5,6,6,4,2,4,,5,2,,,2.0,1,0,0,1,7,2,1.0,1,5,3,,,2.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,Países Bajos,16,0
5.0,,5,1,5,,,2.0,1,,,,,,,,0.0,1,,,5,2,0,1,0,0,1,1,0,0,,5,2,8.0,0.0,,1,0,0,1,8,2,1.0,1,3,4,1.0,,1.0,1.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,Francia,8,0
,,4,3,3,,6.0,,2,,,,,,,5.0,2.0,1,,,0,2,1,5,3,5,3,3,1,0,,5,2,,,2.0,1,0,0,1,7,3,2.0,1,2,6,,,3.0,2.0,1.0,6.0,5.0,6.0,5.0,2.0,1.0,1.0,1.0,1.0,Francia,8,0
,1.0,7,5,6,0.0,4.0,,2,,,,,,,,5.0,3,,,5,4,2,5,3,5,6,5,2,3,,5,2,,,1.0,2,0,1,2,6,2,,2,6,5,,,2.0,1.0,5.0,5.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,Alemania,5,0
5.0,,4,2,4,,,2.0,2,,,,,,,,5.0,2,,,5,3,4,4,4,5,5,6,4,4,5.0,5,3,5.0,5.0,,1,0,0,1,5,2,2.0,1,0,2,3.0,,,,,,,,,,,,,,Alemania,5,0
2.0,,0,0,0,,,1.0,2,,,,,,,,0.0,1,,,5,3,0,0,0,0,3,4,0,2,4.0,0,4,2.0,2.0,,1,0,0,1,0,5,0.0,1,2,1,4.0,,,,,,,,,,,,,,Alemania,5,0
,,6,6,6,,5.0,,2,,,,,,,,4.0,2,,,5,2,5,6,3,6,6,4,2,2,,3,2,,,2.0,1,0,0,1,6,2,2.0,1,6,4,,,1.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,Austria,1,0
,1.0,5,2,0,3.0,3.0,,1,,,,,,,,2.0,4,,,5,4,5,3,0,4,6,2,0,5,,0,2,,,2.0,1,0,0,1,6,1,,1,0,5,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Suecia,20,0
,1.0,6,6,6,0.0,3.0,,2,,,,,,,,,1,,,6,3,4,0,2,0,5,6,0,0,,6,1,,,2.0,1,0,0,1,5,2,,1,10,6,,,2.0,2.0,4.0,5.0,2.0,2.0,5.0,3.0,1.0,2.0,3.0,2.0,Alemania,5,0
,2.0,10,1,5,0.0,6.0,,2,,,,,,,,10.0,1,,,10,2,10,1,1,1,10,5,5,4,,0,2,,,2.0,1,0,0,1,4,5,,1,0,6,,,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Alemania,5,0
,0.0,2,2,2,2.0,2.0,,2,3.0,1.0,3.0,2.0,3.0,3.0,,,2,2.0,2.0,4,2,2,2,2,3,10,4,0,2,,5,3,,,2.0,1,0,0,1,10,2,,1,8,5,,,1.0,2.0,2.0,6.0,1.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,Alemania,5,0
,2.0,3,3,1,0.0,2.0,,2,,,,,,,,,1,,,5,1,3,4,2,2,6,4,2,2,,3,4,,,2.0,1,0,0,1,7,1,,1,9,2,,,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,Alemania,5,0
,,10,6,6,,6.0,,1,,,,,,,,10.0,3,,,2,1,6,6,6,6,10,6,3,3,,6,2,,,2.0,1,0,0,1,10,4,4.0,1,0,6,,,1.0,2.0,4.0,5.0,2.0,2.0,5.0,1.0,2.0,1.0,3.0,2.0,Alemania,5,0
,0.0,0,0,5,0.0,5.0,,2,,,,,,,,,1,,,5,3,0,10,5,0,5,5,0,10,,0,4,,,2.0,1,0,0,1,5,1,,1,0,4,,,1.0,1.0,6.0,6.0,4.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,Francia,8,0
5.0,,7,6,5,,,1.0,2,,,,,,,,2.0,1,,,5,4,2,2,1,2,3,4,0,2,4.0,0,2,8.0,5.0,,1,0,0,1,3,3,3.0,1,5,6,3.0,,,,,,,,,,,,,,Suecia,20,0
,0.0,1,5,3,0.0,5.0,,2,,,,,,,,10.0,5,,,3,1,0,10,0,10,5,10,0,0,,10,1,,,2.0,1,0,0,1,10,3,,2,10,5,,,1.0,5.0,1.0,6.0,3.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,Francia,8,0
4.0,,3,5,5,,,4.0,1,,,,,,,,5.0,2,,,2,2,5,4,0,0,0,5,0,1,3.0,5,4,5.0,1.0,,1,0,0,1,5,3,3.0,1,3,3,3.0,,,,,,,,,,,,,,Alemania,5,0
5.0,,6,5,5,,,1.0,2,,,,,,,,4.0,1,,,2,4,2,4,2,3,5,6,0,4,,2,2,5.0,4.0,2.0,1,0,0,1,7,2,2.0,1,0,2,2.0,,4.0,3.0,5.0,5.0,6.0,4.0,5.0,2.0,3.0,2.0,2.0,3.0,Francia,8,0
1.0,,5,2,1,,,1.0,1,,,,,,,,0.0,1,,,1,4,1,0,0,5,1,5,0,0,,0,4,6.0,0.0,2.0,1,0,0,1,5,3,0.0,1,0,6,,,2.0,2.0,6.0,6.0,1.0,6.0,6.0,6.0,2.0,1.0,1.0,4.0,Francia,8,0
,3.0,5,5,3,5.0,4.0,,2,2.0,3.0,2.0,1.0,3.0,2.0,,,4,2.0,2.0,3,2,2,3,2,2,4,2,2,5,,4,3,,,2.0,1,0,0,1,5,3,,2,0,4,,,3.0,2.0,3.0,4.0,3.0,3.0,5.0,4.0,1.0,2.0,2.0,3.0,Alemania,5,0
2.0,,4,6,3,,,3.0,2,,,,,,,,5.0,2,,,5,3,5,5,5,5,5,5,5,5,5.0,5,3,5.0,5.0,,2,0,0,2,5,4,2.0,2,10,2,3.0,,,,,,,,,,,,,,Austria,1,0
5.0,,3,4,4,,,1.0,2,,,,,,,,4.0,2,,,5,2,5,5,5,4,3,6,5,5,,5,2,6.0,6.0,2.0,1,0,0,1,8,2,4.0,1,5,5,,,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,Bélgica,2,0
5.0,,4,4,5,,,1.0,2,,,,,,,,4.0,1,,,5,1,4,6,0,4,6,5,2,5,,5,2,7.0,4.0,2.0,2,0,0,2,6,3,4.0,2,4,6,4.0,,5.0,3.0,2.0,2.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,4.0,Alemania,5,0
1.0,,8,6,5,,,2.0,1,,,,,,,,5.0,1,,,5,3,3,5,3,3,5,5,1,6,,2,2,5.0,4.0,1.0,1,0,0,1,3,2,2.0,1,0,4,4.0,,1.0,1.0,5.0,5.0,6.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0,Francia,8,0
5.0,,3,5,2,,,2.0,1,,,,,,,,3.0,2,,,3,3,2,4,2,3,3,3,5,3,,3,3,5.0,5.0,1.0,2,0,0,2,4,1,5.0,1,5,6,,,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,Austria,1,0
,0.0,9,5,6,6.0,5.0,,1,,,,,,,,6.0,1,,,5,3,4,6,3,6,6,6,4,5,,5,1,,,2.0,1,0,0,2,8,2,,1,4,4,,,1.0,2.0,5.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,Francia,8,0
4.0,,5,4,5,,,1.0,1,,,,,,,,4.0,3,,,2,2,4,6,4,6,5,6,5,5,,5,3,7.0,6.0,2.0,1,0,0,1,5,2,0.0,1,6,5,,,2.0,1.0,3.0,5.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,Austria,1,0
1.0,,5,5,0,,,1.0,2,,,,,,,,5.0,4,,,5,2,5,5,5,5,5,10,0,10,,5,3,10.0,5.0,2.0,1,0,0,1,10,3,2.0,1,5,4,3.0,,2.0,2.0,2.0,5.0,2.0,5.0,2.0,3.0,2.0,2.0,5.0,2.0,Alemania,5,0
,0.0,0,1,0,0.0,6.0,,2,,,,,,,,3.0,1,,,3,3,3,0,5,0,0,2,1,1,,2,4,,,2.0,1,0,0,1,0,5,,1,3,7,,,3.0,2.0,4.0,5.0,1.0,4.0,6.0,2.0,1.0,2.0,1.0,2.0,Francia,8,0
4.0,,5,3,3,,,1.0,2,,,,,,,,4.0,3,,,5,4,3,3,3,2,5,1,1,4,4.0,1,2,5.0,3.0,,1,0,0,1,6,2,2.0,1,0,5,3.0,,,,,,,,,,,,,,Suecia,20,0
5.0,,5,3,4,,,2.0,2,,,,,,,,0.0,3,,,6,2,6,3,4,3,6,6,4,5,,5,2,8.0,6.0,2.0,2,0,0,1,3,4,3.0,1,0,3,3.0,,3.0,2.0,3.0,6.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,Países Bajos,16,0
,0.0,7,7,4,2.0,2.0,,1,2.0,1.0,1.0,1.0,3.0,3.0,,,2,2.0,2.0,4,2,3,4,1,4,6,6,1,3,,6,2,,,2.0,1,0,0,1,7,2,,1,0,4,,,2.0,1.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,Alemania,5,0
,1.0,4,6,6,6.0,4.0,,2,2.0,1.0,1.0,1.0,2.0,2.0,,,4,1.0,2.0,5,3,3,3,3,6,6,5,0,3,,6,3,,,2.0,1,0,0,1,8,2,,1,0,7,,,2.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,Alemania,5,0
4.0,,9,6,4,,,1.0,2,,,,,,,,0.0,1,,,2,2,5,4,5,6,10,10,1,1,,4,3,10.0,8.0,,1,0,0,1,10,3,4.0,1,6,3,5.0,,1.0,1.0,6.0,6.0,1.0,3.0,6.0,1.0,1.0,1.0,4.0,1.0,Austria,1,0
,1.0,8,5,2,2.0,5.0,,2,,,,,,,,,3,,,5,2,1,1,2,6,5,6,1,2,,5,2,,,2.0,1,0,0,1,7,3,,1,1,4,,,2.0,5.0,2.0,5.0,2.0,4.0,5.0,5.0,2.0,1.0,2.0,4.0,Francia,8,0
,2.0,5,5,5,2.0,5.0,,2,2.0,2.0,1.0,4.0,3.0,3.0,,,1,3.0,1.0,3,1,3,5,3,5,3,4,6,5,,6,3,,,2.0,1,0,0,1,7,3,,1,3,2,,,2.0,1.0,2.0,3.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,Francia,8,0
,,3,2,4,,5.0,,2,,,,,,,,3.0,1,,,5,4,3,5,0,6,4,0,0,0,,0,3,,,2.0,1,0,0,1,8,4,2.0,1,0,2,,,6.0,3.0,2.0,5.0,4.0,6.0,6.0,3.0,5.0,3.0,2.0,6.0,Bélgica,2,0
,1.0,1,4,2,0.0,6.0,,2,2.0,4.0,1.0,4.0,1.0,1.0,,,2,4.0,2.0,5,4,0,3,0,5,3,5,0,2,,0,2,,,2.0,1,0,0,1,5,2,,1,0,7,,,2.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,Alemania,5,0
5.0,,2,1,4,,,2.0,1,,,,,,,,4.0,1,,,5,3,0,3,0,3,3,5,0,0,5.0,5,2,4.0,4.0,,1,0,0,1,9,3,1.0,1,5,6,4.0,,,,,,,,,,,,,,Alemania,5,0
,1.0,6,4,3,2.0,2.0,,2,,,,,,,,10.0,2,,,5,2,3,2,4,3,6,6,3,4,,4,2,,,2.0,1,0,0,1,7,2,,1,0,5,,,2.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,Alemania,5,0
,1.0,6,3,4,2.0,2.0,,1,,,,,,,,3.0,3,,,3,3,4,6,4,6,6,6,3,3,,5,2,,,2.0,1,0,0,1,6,2,,1,3,4,,,2.0,2.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,Francia,8,0
,1.0,0,5,3,2.0,3.0,,2,1.0,1.0,1.0,2.0,1.0,3.0,,,2,2.0,1.0,1,3,1,2,1,2,5,5,0,5,,10,4,,,2.0,1,0,0,2,3,3,,1,7,1,,,,,,,,,,,,,,,Francia,8,0
,,2,2,2,,2.0,,1,,,,,,,0.0,4.0,4,,,5,2,0,4,0,4,6,4,1,5,,5,2,,,2.0,1,0,0,1,5,1,4.0,1,7,7,,,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,Francia,8,0
5.0,,4,0,5,,,5.0,1,,,,,,,,0.0,1,,,0,1,0,3,0,3,2,1,5,3,,10,1,7.0,0.0,2.0,1,0,0,1,10,3,3.0,1,0,6,,,2.0,4.0,2.0,6.0,6.0,6.0,4.0,1.0,1.0,2.0,3.0,2.0,Francia,8,0
,1.0,1,3,3,2.0,6.0,,2,3.0,2.0,3.0,4.0,3.0,3.0,,,2,2.0,3.0,5,3,2,5,2,3,2,2,3,2,,1,4,,,2.0,1,0,0,1,10,2,,2,5,3,,,2.0,2.0,5.0,6.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,Bélgica,2,0
,1.0,4,0,4,2.0,3.0,,2,,,,,,,,,2,,,3,2,3,5,3,5,5,2,2,4,,4,3,,,2.0,1,0,0,1,7,2,,1,7,6,,,1.0,2.0,2.0,4.0,1.0,1.0,6.0,5.0,1.0,1.0,3.0,3.0,Francia,8,0
5.0,,7,5,3,,,1.0,1,,,,,,,,0.0,1,,,5,3,3,3,1,3,5,3,0,0,,5,1,8.0,2.0,2.0,2,0,0,1,5,3,4.0,1,9,5,3.0,,3.0,2.0,1.0,6.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,Francia,8,0
5.0,,5,3,4,,,2.0,1,,,,,,,,3.0,2,,,4,3,2,5,4,3,4,3,2,4,,3,3,7.0,6.0,2.0,1,0,0,1,4,3,3.0,1,0,4,,,1.0,1.0,1.0,4.0,2.0,5.0,5.0,2.0,3.0,1.0,3.0,4.0,Suecia,20,0
,2.0,6,6,6,2.0,4.0,,2,3.0,3.0,2.0,2.0,3.0,3.0,,,2,3.0,2.0,3,2,2,2,5,3,5,4,2,1,,6,2,,,2.0,1,0,0,1,7,2,,1,1,4,,,2.0,2.0,5.0,5.0,4.0,5.0,6.0,2.0,1.0,2.0,1.0,3.0,Austria,1,0
,1.0,4,2,6,6.0,4.0,,2,1.0,1.0,1.0,1.0,1.0,1.0,,,1,1.0,2.0,1,1,0,2,0,3,4,0,1,6,,2,1,,,2.0,1,0,0,1,6,2,,1,10,7,,,3.0,1.0,6.0,2.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,5.0,Austria,1,0
5.0,,3,6,3,,,2.0,2,,,,,,,,4.0,3,,,5,3,6,4,4,6,10,6,4,5,6.0,6,3,9.0,5.0,,1,0,0,1,10,2,3.0,1,4,6,3.0,,,,,,,,,,,,,,Suecia,20,0
,3.0,0,0,0,2.0,4.0,,1,,,,,,,,0.0,5,,,10,1,0,0,0,0,0,0,0,0,,0,1,,,2.0,1,0,0,1,5,2,,1,0,3,,,6.0,1.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,4.0,5.0,3.0,Alemania,5,0
,,9,3,0,,4.0,,2,,,,,,,,1.0,2,,,10,1,0,5,0,5,2,5,0,5,,1,2,,,2.0,1,0,0,2,5,3,1.0,1,5,3,,,1.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,Francia,8,0
,1.0,4,3,2,1.0,5.0,,2,3.0,1.0,1.0,1.0,3.0,2.0,,,1,3.0,3.0,5,2,2,5,3,5,3,5,3,5,,2,2,,,2.0,2,0,0,1,3,2,,2,5,6,,,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,Países Bajos,16,0
5.0,,5,3,0,,,4.0,2,,,,,,,,5.0,4,,,10,1,5,3,1,5,10,3,1,4,,5,2,10.0,10.0,2.0,1,0,0,2,10,1,4.0,1,5,5,3.0,,3.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,Suecia,20,0
,1.0,0,3,0,5.0,1.0,,1,,,,,,,,,3,,,5,1,2,0,5,10,3,6,0,2,,6,2,,,2.0,2,0,0,2,9,2,,2,10,6,,,1.0,2.0,5.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,4.0,Francia,8,0
,2.0,5,4,4,2.0,6.0,,2,,,,,,,,5.0,4,,,5,2,5,4,3,5,4,4,2,3,,4,2,,,2.0,1,0,0,1,6,3,,1,5,4,,,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,Alemania,5,0
,2.0,5,7,3,3.0,6.0,,2,,,,,,,,3.0,2,,,3,1,3,2,3,3,4,5,0,4,,2,2,,,2.0,1,0,0,1,9,2,,1,7,5,,,2.0,1.0,1.0,4.0,3.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,Alemania,5,0
5.0,,5,5,5,,,1.0,2,,,,,,,,2.0,1,,,0,4,0,5,0,5,5,5,2,0,,0,2,7.0,7.0,,1,0,0,1,7,4,4.0,1,7,6,1.0,,2.0,5.0,2.0,6.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0,Bélgica,2,0
,1.0,6,3,4,3.0,5.0,,2,,,,,,,,,3,,,4,2,4,4,3,3,6,6,3,6,,5,2,,,2.0,1,0,0,1,7,2,,1,1,5,,,3.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,Alemania,5,0
,2.0,0,0,4,3.0,5.0,,2,,,,,,,,5.0,2,,,0,2,0,4,0,1,0,2,0,3,,0,2,,,2.0,1,0,0,1,4,2,,1,0,6,,,2.0,3.0,2.0,5.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,2.0,Alemania,5,0
,2.0,10,5,10,2.0,2.0,,2,,,,,,,,6.0,1,,,5,3,3,3,4,4,5,10,4,5,,5,1,,,2.0,1,0,0,1,7,2,,1,4,6,,,3.0,2.0,3.0,4.0,3.0,5.0,2.0,2.0,2.0,1.0,6.0,1.0,Alemania,5,0
,,6,5,3,,4.0,,2,,,,,,,1.0,4.0,4,,,5,4,2,5,1,4,6,4,2,2,,5,2,,,2.0,1,0,0,1,5,3,4.0,1,5,5,,,1.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,Francia,8,0
,1.0,4,3,3,1.0,5.0,,2,,,,,,,,4.0,4,,,4,4,2,2,2,2,3,2,2,2,,2,3,,,2.0,1,0,0,1,3,3,,1,6,2,,,2.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,Alemania,5,0
5.0,,2,2,1,,,2.0,2,,,,,,,,0.0,3,,,2,2,5,1,2,4,6,2,2,1,3.0,4,3,5.0,0.0,,1,0,0,1,4,3,0.0,1,4,2,3.0,,,,,,,,,,,,,,Austria,1,0
,1.0,0,6,5,1.0,5.0,,2,,,,,,,,6.0,1,,,1,4,4,3,2,5,6,6,4,6,,6,2,,,2.0,2,0,0,2,8,2,,2,6,6,,,1.0,2.0,1.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,Francia,8,0
5.0,,3,10,5,,,1.0,2,,,,,,,,4.0,3,,,5,4,5,0,5,5,10,0,0,0,0.0,5,2,10.0,10.0,,1,0,0,1,10,1,4.0,1,0,5,5.0,,,,,,,,,,,,,,Alemania,5,0
4.0,,5,3,2,,,2.0,1,,,,,,,,5.0,3,,,5,3,3,5,1,2,5,4,2,4,,6,4,7.0,3.0,,1,0,0,1,7,3,4.0,1,7,4,3.0,,2.0,2.0,4.0,5.0,2.0,2.0,5.0,4.0,3.0,2.0,3.0,3.0,Alemania,5,0
,0.0,6,5,5,1.0,2.0,,2,,,,,,,,6.0,3,,,3,2,5,6,5,6,5,5,5,4,,6,3,,,2.0,1,0,0,1,6,3,,1,4,2,,,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,Austria,1,0
,0.0,1,0,2,0.0,4.0,,1,2.0,1.0,1.0,1.0,2.0,2.0,,,4,1.0,5.0,4,3,1,3,0,5,2,5,0,3,,10,1,,,2.0,1,0,0,1,5,3,,1,0,6,,,1.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,Alemania,5,0
5.0,,5,5,0,,,1.0,2,,,,,,,,0.0,1,,,0,4,0,5,5,0,0,5,0,0,,5,1,10.0,5.0,,1,0,0,1,10,5,4.0,1,5,6,3.0,,2.0,2.0,4.0,5.0,2.0,4.0,6.0,5.0,2.0,2.0,3.0,2.0,Austria,1,0
,1.0,10,8,5,1.0,6.0,,2,,,,,,,,5.0,2,,,5,3,5,6,5,5,10,10,5,5,,4,2,,,2.0,1,0,0,1,10,2,,1,3,6,,,1.0,2.0,2.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,Alemania,5,0
5.0,,7,5,4,,,1.0,2,,,,,,,,3.0,1,,,5,3,4,4,4,3,4,5,5,5,4.0,5,1,8.0,5.0,,1,0,0,1,5,3,4.0,1,0,2,3.0,,,,,,,,,,,,,,Suecia,20,0
,2.0,3,3,2,3.0,2.0,,2,,,,,,,,5.0,2,,,5,1,5,5,5,5,5,2,3,3,,10,1,,,2.0,1,0,0,2,6,1,,2,5,5,,,2.0,2.0,3.0,3.0,3.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,Suecia,20,0
5.0,,7,9,6,,,4.0,1,,,,,,,,4.0,3,,,10,2,2,1,2,10,0,3,3,1,1.0,0,4,5.0,5.0,,2,0,0,2,5,4,3.0,2,4,3,2.0,,,,,,,,,,,,,,Suecia,20,0
,4.0,3,5,5,0.0,6.0,,1,,,,,,,,0.0,3,,,3,1,4,4,3,5,3,5,4,2,,5,3,,,2.0,1,0,0,1,4,4,,1,0,2,,,1.0,2.0,4.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,5.0,5.0,Países Bajos,16,0
5.0,,5,5,5,,,1.0,2,,,,,,,,5.0,3,,,5,4,5,6,5,5,5,5,3,2,,5,2,6.0,3.0,2.0,1,0,0,1,6,2,3.0,1,2,7,,,4.0,2.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,Alemania,5,0
